Easting Northing Q1 I1 Q05 I05 elevation
741373.635 3669759.655 65.76 1.26 43.48 0.33 67.217
741373.235 3669759.68 67.01 1.29 43.8 0.34 67.209
741372.497 3669759.727 67.79 1.42 44.62 0.36 67.221
741371.8 3669759.766 68.69 1.57 44.27 0.39 67.234
741371.014 3669759.764 69 1.72 44.58 0.4 67.241
741370.984 3669759.764 70.95 1.85 45.71 0.42 67.241
741370.711 3669759.764 71.89 1.95 46.73 0.43 67.244
741370.151 3669759.737 73.57 1.97 47.47 0.41 67.266
741369.381 3669759.679 75.33 1.96 49.07 0.41 67.311
741368.819 3669759.604 77.09 1.96 50.63 0.43 67.337
741368.443 3669759.531 79.23 2.08 52.2 0.51 67.35
741367.944 3669759.434 81.07 2.4 53.84 0.61 67.368
741367.419 3669759.235 83.14 3.03 54.5 0.74 67.382
741366.68 3669758.912 83.26 4.13 54.15 0.95 67.4
741366.409 3669758.717 80.17 5.58 52.35 1.28 67.392
741366.122 3669758.491 75.64 7.08 50.52 1.54 67.381
741365.859 3669758.282 71.5 8.09 50.52 1.64 67.37
741365.477 3669757.883 70.95 8.3 51.53 1.56 67.361
741365.203 3669757.505 73.26 7.71 52.82 1.37 67.362
741364.919 3669757.103 77.63 6.69 54.5 1.15 67.362
741364.802 3669756.831 81.03 5.57 55.24 0.95 67.363
741364.646 3669756.468 81.7 4.59 55.4 0.83 67.364
741364.538 3669756.218 81.15 3.84 55.79 0.72 67.365
741364.407 3669755.755 81.03 3.24 55.63 0.63 67.358
741364.257 3669755.03 82.16 2.81 56.14 0.58 67.34
741364.217 3669754.687 82.79 2.47 54.7 0.55 67.335
741364.19 3669754.296 80.8 2.18 54.03 0.51 67.332
741364.163 3669753.905 78.96 2.03 53.6 0.49 67.328
741364.174 3669753.563 77.36 1.91 52.82 0.48 67.334
741364.271 3669752.808 75.45 1.85 51.06 0.46 67.362
741364.408 3669752.394 74.12 1.78 49.93 0.47 67.366
741364.574 3669752.047 73.18 1.76 49.11 0.47 67.363
741364.727 3669751.726 74.2 1.85 49.23 0.47 67.359
741365.508 3669750.641 75.88 1.97 49.38 0.49 67.359
741365.546 3669750.591 76.93 2.14 50.16 0.5 67.359
741365.546 3669750.591 78.1 2.35 50.83 0.54 67.359
741365.746 3669750.421 80.48 2.59 52.74 0.57 67.357
741366.294 3669749.984 82.87 2.95 53.72 0.63 67.351
741366.738 3669749.674 85.52 3.49 54.23 0.72 67.343
741367.285 3669749.431 86.03 4.35 54.46 0.9 67.328
741367.706 3669749.244 85.64 5.64 53.88 1.17 67.317
741368.313 3669749.101 81.89 7.35 52.47 1.56 67.303
741368.747 3669749.033 76.62 8.81 49.7 1.83 67.294
741369.224 3669748.959 74.98 9.18 50.91 1.76 67.284
741370.106 3669748.983 79.47 8.28 52.66 1.44 67.267
741370.99 3669749.035 86.38 6.77 54.46 1.11 67.251
741371.503 3669749.1 89.47 5.27 54.15 0.86 67.256
741371.93 3669749.154 88.84 4.13 52.47 0.69 67.261
741372.531 3669749.231 85.06 3.35 49.11 0.6 67.268
741373.402 3669749.33 79.16 2.84 47.27 0.54 67.248
741374.259 3669749.424 76.42 2.49 45.36 0.49 67.22
741374.934 3669749.486 72.83 2.22 42.86 0.45 67.207
741375.518 3669749.53 71.31 2.09 41.41 0.45 67.203
741376.014 3669749.568 69.43 1.92 39.85 0.41 67.2
741376.678 3669749.611 66.85 1.76 38.09 0.4 67.197
741378.03 3669749.636 65.56 1.7 36.69 0.41 67.208
741379.016 3669749.644 64.27 1.62 35.67 0.41 67.205
741379.518 3669749.639 63.02 1.55 35.75 0.41 67.195
741380.017 3669749.634 61.31 1.48 35.36 0.41 67.185
741380.476 3669749.63 60.6 1.48 34.85 0.42 67.176
741381.371 3669749.612 59.74 1.51 33.88 0.41 67.169
741383.138 3669749.564 58.22 1.52 33.41 0.42 67.166
741383.807 3669749.543 57.44 1.53 32.86 0.42 67.156
741384.319 3669749.527 56.19 1.53 32.23 0.4 67.149
741385.086 3669749.504 55.41 1.51 32.04 0.41 67.138
741385.964 3669749.482 55.95 1.53 32.35 0.42 67.126
741388.314 3669749.433 56.27 1.52 33.72 0.39 67.097
741388.897 3669749.424 56.46 1.55 33.6 0.4 67.091
741389.479 3669749.416 57.75 1.58 34.23 0.4 67.084
741390.628 3669749.388 58.61 1.54 35.55 0.4 67.065
741391.648 3669749.361 60.84 1.53 36.77 0.38 67.046
741392.393 3669749.337 62.2 1.53 37.82 0.39 67.038
741393.139 3669749.311 64.78 1.53 39.27 0.39 67.037
741393.725 3669749.289 67.13 1.52 40.98 0.38 67.037
741394.489 3669749.267 68.61 1.52 42.27 0.36 67.034
741395.727 3669749.246 71.03 1.51 43.56 0.37 67.025
741396.598 3669749.231 72.32 1.53 44.81 0.37 67.021
741397.202 3669749.219 74.16 1.54 45.71 0.36 67.023
741397.804 3669749.208 75.02 1.6 46.88 0.36 67.024
741398.456 3669749.196 77.09 1.64 47.78 0.37 67.027
741399.546 3669749.177 78.38 1.68 48.48 0.36 67.004
741400.79 3669749.154 79.16 1.66 49.15 0.36 66.973
741401.472 3669749.15 80.91 1.71 50.2 0.38 66.97
741402.151 3669749.145 81.46 1.72 50.05 0.38 66.966
741404.082 3669749.122 81.73 1.71 50.55 0.37 66.946
741405.036 3669749.107 81.81 1.73 50.44 0.38 66.933
741405.649 3669749.101 82.32 1.66 50.67 0.38 66.932
741406.363 3669749.094 81.66 1.65 50.55 0.36 66.931
741406.787 3669749.09 81.15 1.62 50.16 0.37 66.93
741407.423 3669749.085 79.59 1.63 49.89 0.35 66.928
741409.079 3669749.091 80.17 1.63 50.16 0.35 66.892
741409.852 3669749.094 80.68 1.6 49.97 0.35 66.875
741410.514 3669749.099 79.27 1.63 48.88 0.37 66.861
741411.172 3669749.103 78.69 1.62 48.48 0.36 66.847
741411.991 3669749.103 79.59 1.59 48.84 0.34 66.831
741413.398 3669749.08 79.43 1.5 49.03 0.32 66.815
741414.379 3669749.06 79.51 1.53 48.05 0.34 66.804
741414.91 3669749.045 79.39 1.57 48.29 0.37 66.799
741415.391 3669749.031 79.31 1.53 48.29 0.36 66.794
741416.067 3669749.011 79.9 1.6 48.41 0.37 66.788
741417.222 3669748.975 80.13 1.55 48.37 0.35 66.767
741418.481 3669748.935 80.09 1.53 48.48 0.36 66.74
741419.218 3669748.93 80.95 1.59 47.9 0.38 66.718
741419.791 3669748.93 79.39 1.56 47.7 0.39 66.7
741420.572 3669748.928 79.12 1.54 47.39 0.39 66.676
741421.267 3669748.918 78.02 1.55 45.67 0.39 66.673
741422.785 3669748.878 75.72 1.48 43.99 0.38 66.701
741423.671 3669748.845 74.12 1.46 43.17 0.39 66.704
741424.451 3669748.809 73.06 1.5 43.09 0.42 66.699
741425.177 3669748.775 73.26 1.54 43.13 0.42 66.694
741426.028 3669748.749 73.02 1.56 43.52 0.44 66.689
741427.176 3669748.724 73.26 1.54 43.37 0.43 66.683
741428.028 3669748.703 74.2 1.54 43.68 0.42 66.686
741428.859 3669748.679 73.96 1.5 43.41 0.41 66.704
741429.527 3669748.659 73.65 1.57 43.33 0.41 66.719
741430.143 3669748.639 73.18 1.53 43.13 0.4 66.729
741431.648 3669748.579 72.79 1.52 42.59 0.4 66.713
741432.668 3669748.537 72.67 1.54 42.16 0.4 66.701
741433.32 3669748.506 71.77 1.5 42.16 0.4 66.692
741434.025 3669748.474 70.95 1.5 42.12 0.39 66.682
741434.621 3669748.446 71.34 1.48 41.18 0.39 66.674
741435.666 3669748.389 70.8 1.52 40.71 0.41 66.664
741436.626 3669748.335 70.99 1.57 40.48 0.42 66.655
741437.519 3669748.292 70.6 1.64 40.4 0.43 66.641
741438.147 3669748.264 69.47 1.62 39.97 0.45 66.63
741438.67 3669748.24 69.35 1.62 39.62 0.46 66.62
741439.892 3669748.198 68.96 1.62 40.4 0.44 66.595
741441.915 3669748.146 69.74 1.56 41.3 0.41 66.549
741442.605 3669748.131 69.66 1.59 41.06 0.42 66.532
741443.296 3669748.115 69.59 1.61 41.38 0.41 66.515
741444.139 3669748.103 70.13 1.58 41.88 0.42 66.497
741445.021 3669748.096 70.21 1.61 42.63 0.41 66.48
741446.027 3669748.09 70.68 1.66 42.82 0.42 66.462
741446.733 3669748.091 70.72 1.63 42.94 0.41 66.452
741447.33 3669748.093 71.5 1.59 43.17 0.39 66.443
741448.086 3669748.097 71.54 1.56 43.76 0.39 66.432
741449.32 3669748.127 71.97 1.52 44.54 0.38 66.41
741450.303 3669748.148 73.69 1.54 45.4 0.37 66.393
741450.934 3669748.153 73.45 1.52 45.36 0.37 66.383
741451.615 3669748.159 72.87 1.5 45.24 0.38 66.372
741452.381 3669748.165 73.38 1.52 45.44 0.39 66.36
741453.373 3669748.169 73.06 1.54 45.59 0.36 66.344
741454.12 3669748.172 74 1.53 46.14 0.37 66.331
741454.917 3669748.171 73.45 1.5 45.95 0.37 66.311
741455.645 3669748.169 74.98 1.56 46.14 0.38 66.289
741456.266 3669748.167 75.41 1.54 46.69 0.37 66.269
741457.178 3669748.165 75.52 1.5 47.12 0.37 66.254
741458.481 3669748.162 76.77 1.44 46.88 0.36 66.246
741459.194 3669748.155 76.27 1.41 47.47 0.35 66.233
741459.91 3669748.144 78.26 1.44 47.98 0.36 66.213
741460.63 3669748.133 78.26 1.44 47.59 0.37 66.192
741461.547 3669748.123 79.08 1.46 47.98 0.37 66.165
741462.521 3669748.117 79.23 1.45 47.78 0.38 66.135
741463.388 3669748.11 78.96 1.47 47.66 0.38 66.111
741464.15 3669748.098 78.84 1.38 48.48 0.35 66.099
741464.855 3669748.088 79.59 1.44 48.8 0.36 66.089
741465.454 3669748.079 79.51 1.45 49.03 0.37 66.08
741466.792 3669748.03 78.84 1.48 48.76 0.38 66.043
741467.963 3669747.983 80.56 1.51 48.72 0.38 66.018
741468.483 3669747.957 80.72 1.45 48.48 0.37 66.017
741469.051 3669747.928 80.68 1.48 48.99 0.37 66.016
741469.665 3669747.897 81.07 1.47 48.76 0.38 66.015
741470.637 3669747.849 81.03 1.53 48.72 0.38 66.01
741471.799 3669747.792 81.19 1.49 49.11 0.39 66.003
741472.585 3669747.762 81.81 1.57 49.66 0.4 65.994
741473.29 3669747.741 82.05 1.59 50.01 0.41 65.985
741474.107 3669747.717 81.42 1.58 49.5 0.43 65.973
741475.02 3669747.703 81.11 1.58 49.27 0.41 65.948
741476.187 3669747.69 81.19 1.58 49.3 0.41 65.91
741477.048 3669747.683 82.2 1.54 50.2 0.41 65.903
741477.68 3669747.678 82.16 1.47 49.54 0.37 65.91
741478.315 3669747.674 81.07 1.51 48.45 0.4 65.918
741478.977 3669747.669 80.84 1.55 48.29 0.41 65.915
741480.378 3669747.66 80.48 1.58 48.99 0.41 65.854
741481.249 3669747.654 82.09 1.58 49.7 0.41 65.827
741481.837 3669747.648 82.2 1.59 49.62 0.41 65.834
741482.532 3669747.642 82.59 1.63 49.81 0.4 65.842
741483.281 3669747.635 81.97 1.58 49.19 0.41 65.85
741484.584 3669747.61 81.73 1.54 49.38 0.38 65.845
741485.722 3669747.591 82.2 1.51 49.81 0.38 65.838
741486.251 3669747.587 81.89 1.51 49.3 0.4 65.829
741486.828 3669747.582 82.2 1.54 49.73 0.41 65.82
741487.354 3669747.578 82.91 1.55 50.2 0.38 65.811
741488.409 3669747.569 84.47 1.56 51.06 0.38 65.8
741489.901 3669747.554 84.98 1.52 51.49 0.38 65.791
741490.676 3669747.533 86.89 1.61 51.45 0.4 65.787
741491.28 3669747.512 87.36 1.58 52.12 0.39 65.784
741492.049 3669747.486 87.87 1.59 51.69 0.4 65.779
741492.776 3669747.463 87.98 1.59 51.61 0.42 65.77
741494.038 3669747.427 87.98 1.59 52.27 0.41 65.744
741495.132 3669747.398 89.51 1.6 52.98 0.42 65.728
741495.736 3669747.385 89.51 1.62 53.33 0.42 65.724
741496.343 3669747.372 89.98 1.59 53.52 0.42 65.72
741496.947 3669747.359 90.21 1.62 53.8 0.42 65.716
741498.125 3669747.326 90.91 1.66 54.27 0.43 65.721
741499.37 3669747.289 90.48 1.64 54.3 0.43 65.725
741500.097 3669747.26 91.31 1.67 54.73 0.44 65.717
741500.823 3669747.231 91.7 1.71 54.54 0.45 65.71
741501.496 3669747.205 91.11 1.71 55.01 0.44 65.703
741502.328 3669747.169 92.32 1.71 55.59 0.45 65.683
741503.36 3669747.125 93.77 1.68 55.79 0.44 65.657
741504.357 3669747.083 94.04 1.67 56.45 0.4 65.659
741505.113 3669747.05 93.26 1.65 55.16 0.39 65.675
741505.988 3669747.012 91.62 1.63 54.38 0.39 65.695
741506.827 3669746.984 90.45 1.64 53.64 0.41 65.686
741507.765 3669746.954 89.78 1.65 53.25 0.41 65.674
741508.622 3669746.932 89.39 1.65 53.88 0.38 65.661
741509.152 3669746.925 89.08 1.68 53.91 0.39 65.651
741509.881 3669746.914 88.53 1.67 54.27 0.4 65.637
741510.624 3669746.91 87.16 1.71 53.95 0.4 65.625
741511.861 3669746.918 86.73 1.68 54.62 0.39 65.612
741512.621 3669746.925 87.48 1.71 54.73 0.39 65.607
741513.105 3669746.931 87.75 1.71 55.05 0.36 65.606
741513.677 3669746.937 87.98 1.73 54.77 0.38 65.605
741514.19 3669746.945 86.93 1.73 54.54 0.39 65.602
741515.299 3669746.984 86.66 1.72 54.03 0.4 65.569
741515.926 3669747.007 86.7 1.73 54.5 0.4 65.556
741516.374 3669747.03 86.38 1.7 54.34 0.39 65.565
741516.937 3669747.058 84.86 1.69 53.76 0.38 65.576
741517.273 3669747.075 85.68 1.7 54.7 0.35 65.583
741518.121 3669747.118 85.95 1.65 54.93 0.34 65.584
741518.895 3669747.159 85.88 1.63 54.46 0.34 65.582
741519.345 3669747.199 85.8 1.66 55.05 0.34 65.578
741519.798 3669747.24 85.91 1.64 55.16 0.32 65.574
741520.177 3669747.274 86.03 1.64 55.48 0.33 65.571
741520.782 3669747.347 86.7 1.64 55.36 0.34 65.572
741521.559 3669747.445 85.95 1.62 55.44 0.34 65.575
741522.021 3669747.502 87.13 1.64 55.44 0.34 65.576
741522.419 3669747.55 87.24 1.65 56.02 0.34 65.577
741522.814 3669747.597 87.4 1.62 56.41 0.34 65.578
741523.216 3669747.645 87.2 1.63 56.57 0.36 65.578
741524.137 3669747.748 87.28 1.66 55.83 0.38 65.58
741524.72 3669747.818 86.66 1.6 55.55 0.36 65.572
741525.099 3669747.87 88.14 1.6 56.34 0.35 65.552
741525.476 3669747.922 88.77 1.57 57.16 0.33 65.531
741525.917 3669747.983 88.38 1.51 57.86 0.34 65.507
741526.64 3669748.094 89.27 1.54 58.45 0.36 65.511
741527.402 3669748.212 90.48 1.54 59.58 0.37 65.519
741527.816 3669748.265 90.95 1.54 60.87 0.4 65.515
741528.142 3669748.307 91.15 1.64 61.77 0.4 65.512
741528.588 3669748.365 91.77 1.67 62.82 0.4 65.509
741529.032 3669748.416 92.13 1.68 64.11 0.4 65.503
741530.563 3669748.563 94.59 1.61 63.68 0.39 65.485
741530.961 3669748.593 93.84 1.58 63.33 0.39 65.481
741531.291 3669748.618 94.12 1.65 63.41 0.41 65.478
741531.823 3669748.647 93.41 1.63 62.63 0.41 65.495
741532.652 3669748.679 90.84 1.54 60.55 0.41 65.541
741533.117 3669748.687 87.59 1.57 59.42 0.42 65.539
741533.572 3669748.681 87.67 1.59 60.55 0.4 65.496
741534.063 3669748.675 89.82 1.57 62.66 0.37 65.45
741534.54 3669748.667 91.66 1.53 63.05 0.36 65.424
741535.235 3669748.649 92.32 1.51 64.38 0.35 65.434
741535.928 3669748.632 94.82 1.52 65.24 0.36 65.442
741536.368 3669748.622 95.06 1.51 65.71 0.39 65.442
741536.775 3669748.613 95.76 1.51 65.63 0.38 65.442
741537.147 3669748.604 96.23 1.46 65.79 0.38 65.442
741537.895 3669748.537 96.97 1.48 65.75 0.37 65.434
741538.796 3669748.445 98.18 1.5 66.34 0.38 65.423
741539.278 3669748.378 98.73 1.45 67.39 0.39 65.427
741539.613 3669748.332 99.51 1.39 66.65 0.38 65.429
741540.245 3669748.245 99.51 1.42 66.06 0.39 65.434
741540.783 3669748.178 99.12 1.38 65.2 0.4 65.443
741541.474 3669748.094 98.88 1.37 64.11 0.4 65.454
741542.244 3669747.998 98.61 1.42 63.48 0.42 65.455
741542.855 3669747.921 98.41 1.43 63.02 0.41 65.441
741543.325 3669747.862 99.47 1.42 63.09 0.41 65.431
741544.077 3669747.775 98.84 1.45 63.02 0.41 65.427
741544.95 3669747.678 99.2 1.44 64.03 0.38 65.43
741545.554 3669747.612 99.51 1.39 64.19 0.36 65.431
741546.035 3669747.559 98.38 1.42 63.64 0.39 65.432
741546.513 3669747.507 98.77 1.44 63.95 0.38 65.432
741546.993 3669747.454 98.3 1.41 64.27 0.39 65.433
741548.197 3669747.318 98.57 1.45 64.3 0.4 65.424
741549.245 3669747.199 98.53 1.44 65.05 0.38 65.419
741549.84 3669747.131 99.94 1.48 64.27 0.38 65.426
741550.304 3669747.078 98.1 1.44 64.5 0.38 65.431
741550.858 3669747.015 99.74 1.53 64.62 0.38 65.438
741551.492 3669746.95 98.84 1.54 64.3 0.39 65.44
741552.504 3669746.849 98.61 1.53 65.24 0.39 65.443
741553.286 3669746.773 100.45 1.65 66.1 0.39 65.443
741554.108 3669746.697 99.59 1.58 64.85 0.38 65.442
741554.753 3669746.637 99.51 1.63 64.97 0.38 65.441
741556.972 3669746.522 97.4 1.53 60.75 0.39 65.472
741557.624 3669746.499 98.73 1.5 60.2 0.39 65.476
741558.124 3669746.482 98.06 1.49 60.52 0.4 65.48
741558.727 3669746.462 98.92 1.51 61.1 0.4 65.484
741559.572 3669746.444 99.94 1.57 61.06 0.42 65.489
741560.641 3669746.433 100.21 1.63 61.3 0.44 65.496
741561.387 3669746.423 98.96 1.59 60.67 0.44 65.499
741562.245 3669746.41 98.61 1.56 61.61 0.41 65.493
741562.875 3669746.4 101.07 1.54 62.9 0.4 65.489
741563.58 3669746.384 100.56 1.56 63.48 0.4 65.486
741564.908 3669746.33 101.23 1.54 64.3 0.38 65.493
741565.879 3669746.294 101.54 1.54 64.11 0.39 65.496
741566.5 3669746.276 101.19 1.6 64.42 0.39 65.493
741567.064 3669746.259 101.62 1.62 63.84 0.39 65.49
741567.632 3669746.242 101.34 1.6 64.11 0.38 65.487
741568.649 3669746.219 101.42 1.59 63.99 0.37 65.501
741569.742 3669746.195 100.68 1.57 63.13 0.37 65.518
741570.674 3669746.188 100.64 1.5 63.84 0.36 65.526
741571.21 3669746.186 99.9 1.47 63.05 0.38 65.529
741571.795 3669746.184 100.02 1.58 63.21 0.37 65.533
741572.783 3669746.173 100.88 1.58 63.8 0.38 65.53
741574.337 3669746.153 99.82 1.54 64.03 0.39 65.518
741574.971 3669746.142 101.93 1.61 64.3 0.39 65.509
741575.554 3669746.131 99.59 1.58 63.68 0.39 65.502
741576.296 3669746.118 100.02 1.53 63.8 0.39 65.492
741577.158 3669746.092 100.84 1.56 63.76 0.41 65.49
741578.019 3669746.061 100.88 1.55 64.07 0.39 65.493
741579.004 3669746.025 101.23 1.53 63.09 0.4 65.494
741579.648 3669745.998 100.33 1.49 62.9 0.4 65.492
741580.295 3669745.971 101.34 1.48 63.72 0.41 65.49
741580.938 3669745.944 101.03 1.49 64.89 0.4 65.488
741582.317 3669745.887 103.77 1.49 67.47 0.38 65.46
741583.413 3669745.844 107.4 1.53 69.77 0.39 65.443
741584.039 3669745.823 108.92 1.57 70.75 0.37 65.447
741584.614 3669745.804 109.59 1.54 70.59 0.38 65.451
741585.243 3669745.783 109.98 1.55 70.79 0.38 65.456
741586.153 3669745.749 111.34 1.64 69.93 0.4 65.463
741587.165 3669745.711 108.3 1.63 69.3 0.4 65.47
741588.026 3669745.682 107.44 1.58 69.3 0.4 65.48
741588.687 3669745.663 106.15 1.58 68.8 0.4 65.49
741589.46 3669745.641 106.58 1.62 69.42 0.4 65.503
741590.279 3669745.626 107.36 1.55 70.05 0.39 65.505
741591.476 3669745.613 106.93 1.56 70.05 0.39 65.499
741592.528 3669745.601 108.26 1.55 69.93 0.38 65.506
741593.093 3669745.595 105.48 1.51 69.19 0.38 65.515
741593.71 3669745.588 104.86 1.5 68.64 0.38 65.524
741594.571 3669745.579 102.67 1.5 66.53 0.39 65.53
741595.491 3669745.569 100.88 1.46 65.44 0.37 65.532
741596.448 3669745.555 100.21 1.48 64.58 0.37 65.531
741596.964 3669745.54 99.94 1.42 66.38 0.36 65.527
741597.737 3669745.517 103.26 1.45 67.59 0.37 65.52
741598.407 3669745.497 102.16 1.47 65.75 0.39 65.514
741600.81 3669745.443 103.38 1.5 64.62 0.4 65.538
741601.351 3669745.441 102.56 1.52 64.97 0.4 65.538
741602.112 3669745.436 104 1.42 65.44 0.4 65.539
741603.8 3669745.422 105.06 1.5 64.85 0.42 65.548
741604.868 3669745.411 103.92 1.46 63.09 0.43 65.558
741605.547 3669745.394 103.77 1.47 63.33 0.43 65.553
741606.266 3669745.372 103.77 1.46 63.13 0.44 65.542
741606.876 3669745.354 104.2 1.53 63.25 0.44 65.533
741607.653 3669745.327 104.47 1.54 63.17 0.45 65.52
741609.314 3669745.263 103.73 1.55 63.29 0.44 65.484
741610.063 3669745.233 104.27 1.49 63.05 0.43 65.485
741610.537 3669745.213 101.89 1.48 61.84 0.42 65.49
741611.877 3669745.159 100.6 1.49 60.05 0.45 65.5
741612.935 3669745.131 100.06 1.52 60.95 0.44 65.469
741614.153 3669745.099 100.72 1.46 61.49 0.44 65.44
741614.894 3669745.081 102.16 1.53 61.65 0.45 65.448
741615.368 3669745.07 102.24 1.59 61.61 0.47 65.454
741616.004 3669745.054 101.46 1.55 62.27 0.47 65.461
741617.303 3669745.01 102.83 1.54 62.74 0.47 65.481
741618.485 3669744.967 101.46 1.55 61.92 0.47 65.493
741619.036 3669744.948 102.48 1.58 62.63 0.48 65.48
741619.794 3669744.92 102.09 1.56 62.98 0.48 65.463
741620.348 3669744.9 101.81 1.53 63.64 0.48 65.45
741621.256 3669744.881 103.38 1.52 63.33 0.49 65.461
741622.485 3669744.858 102.75 1.55 62.66 0.48 65.485
741623.196 3669744.85 102.75 1.55 63.29 0.48 65.481
741623.877 3669744.844 102.48 1.52 63.33 0.48 65.471
741624.404 3669744.84 103.14 1.58 63.6 0.47 65.464
741625.315 3669744.822 103.61 1.52 63.68 0.46 65.471
741626.627 3669744.78 102.91 1.49 63.21 0.46 65.512
741627.432 3669744.75 103.49 1.54 61.92 0.48 65.532
741628.161 3669744.718 101.58 1.56 61.34 0.49 65.545
741628.836 3669744.688 102.71 1.57 61.45 0.49 65.557
741629.582 3669744.658 101.34 1.55 60.87 0.47 65.564
741630.499 3669744.623 101.89 1.57 60.87 0.49 65.564
741631.522 3669744.587 102.32 1.56 60.87 0.49 65.565
741632.116 3669744.574 102.4 1.56 61.41 0.49 65.57
741632.765 3669744.56 102.98 1.55 60.95 0.48 65.576
741633.465 3669744.544 101.5 1.51 61.06 0.48 65.582
741634.585 3669744.51 102.83 1.55 61.14 0.47 65.597
741635.753 3669744.472 102.28 1.57 60.95 0.48 65.613
741636.304 3669744.448 101.5 1.59 61.53 0.49 65.611
741637.054 3669744.415 102.28 1.54 61.26 0.49 65.609
741637.657 3669744.389 100.8 1.51 60.4 0.47 65.607
741638.607 3669744.336 101.85 1.55 60.36 0.47 65.618
741639.498 3669744.284 100.52 1.52 60.13 0.45 65.632
741640.3 3669744.23 100.72 1.52 59.62 0.46 65.646
741640.835 3669744.189 99.66 1.53 59.27 0.46 65.656
741641.423 3669744.145 99.04 1.51 58.45 0.47 65.667
741642.068 3669744.095 98.57 1.51 57.43 0.48 65.677
741643.255 3669743.999 97.4 1.54 57.74 0.47 65.688
741644.022 3669743.939 98.69 1.64 58.52 0.49 65.694
741644.728 3669743.903 99.63 1.63 58.68 0.48 65.69
741645.545 3669743.863 99.66 1.63 59.34 0.48 65.685
741646.17 3669743.836 100.6 1.59 60.24 0.47 65.681
741647.155 3669743.816 100.99 1.62 60.01 0.47 65.675
741647.99 3669743.799 101.77 1.64 61.02 0.46 65.67
741648.715 3669743.773 103.1 1.6 62.51 0.44 65.682
741649.32 3669743.75 103.57 1.66 62.16 0.46 65.693
741649.921 3669743.727 102.95 1.66 61.69 0.46 65.704
741651.005 3669743.692 101.85 1.66 62.23 0.46 65.69
741651.994 3669743.661 103.77 1.67 63.48 0.46 65.669
741652.695 3669743.645 104.39 1.66 62.55 0.45 65.666
741653.506 3669743.628 103.69 1.66 63.13 0.44 65.667
741654.012 3669743.618 104.39 1.64 63.88 0.44 65.668
741655.032 3669743.583 104.23 1.65 63.72 0.44 65.67
741655.884 3669743.549 104 1.66 63.84 0.44 65.672
741656.643 3669743.525 103.49 1.63 63.48 0.45 65.678
741657.207 3669743.513 103.22 1.64 63.02 0.44 65.687
741657.726 3669743.501 103.77 1.56 62.82 0.43 65.695
741659.852 3669743.5 103.38 1.65 62.23 0.46 65.702
741660.727 3669743.503 102.4 1.6 61.49 0.45 65.704
741661.312 3669743.498 102.98 1.58 61.77 0.45 65.712
741661.849 3669743.493 103.02 1.57 61.61 0.46 65.72
741662.388 3669743.488 102.75 1.65 61.53 0.46 65.727
741663.599 3669743.461 103.26 1.59 61.92 0.45 65.736
741664.635 3669743.436 104.55 1.64 61.8 0.46 65.742
741665.269 3669743.423 104.86 1.66 61.41 0.47 65.744
741665.9 3669743.411 104.74 1.63 62.86 0.47 65.746
741666.481 3669743.399 105.41 1.6 62.86 0.47 65.748
741667.634 3669743.383 106.34 1.65 62.78 0.47 65.772
741668.629 3669743.371 105.37 1.62 62.2 0.48 65.796
741669.234 3669743.358 106.11 1.64 63.25 0.47 65.792
741669.893 3669743.344 108.34 1.67 64.03 0.48 65.783
741670.411 3669743.332 108.65 1.69 65.13 0.48 65.777
741671.182 3669743.317 110.84 1.72 66.45 0.49 65.774
741672.377 3669743.297 111.77 1.72 67.31 0.5 65.781
741673.164 3669743.286 112.01 1.7 67.47 0.48 65.786
741673.795 3669743.279 111.34 1.72 66.96 0.48 65.791
741674.475 3669743.272 110.25 1.7 66.1 0.48 65.796
741675.211 3669743.267 110.48 1.71 65.95 0.47 65.8
741676.046 3669743.269 110.41 1.74 66.06 0.49 65.803
741677.821 3669743.265 110.72 1.77 68.88 0.51 65.813
741678.469 3669743.259 112.48 1.74 69.03 0.5 65.819
741679.426 3669743.251 112.75 1.74 67.86 0.5 65.829
741680.183 3669743.247 112.36 1.75 67.12 0.5 65.837
741681.017 3669743.243 111.58 1.73 66.49 0.51 65.847
741681.662 3669743.224 111.46 1.7 65.67 0.49 65.843
741682.356 3669743.199 109.86 1.69 64.77 0.5 65.835
741682.851 3669743.181 109.98 1.66 64.77 0.49 65.83
741683.676 3669743.141 108.92 1.66 64.5 0.49 65.828
741685.313 3669743.041 108.3 1.68 63.88 0.5 65.841
741685.76 3669743.016 106.85 1.67 63.48 0.5 65.846
741686.254 3669742.989 107.05 1.66 64.27 0.47 65.852
741686.836 3669742.957 109.04 1.63 65.24 0.47 65.859
741687.389 3669742.93 108.41 1.65 65.63 0.47 65.867
741688.828 3669742.9 109.23 1.65 66.3 0.46 65.899
741689.591 3669742.892 109.7 1.67 66.41 0.46 65.913
741690.037 3669742.894 109.12 1.67 66.1 0.46 65.92
741690.702 3669742.896 108.77 1.69 65.16 0.48 65.93
741691.228 3669742.896 107.09 1.68 64.3 0.49 65.936
741692.194 3669742.88 107.05 1.7 64.62 0.48 65.934
741693.051 3669742.865 106.77 1.66 64.03 0.46 65.932
741693.669 3669742.855 105.41 1.65 64.38 0.46 65.924
741694.287 3669742.845 106.15 1.7 65.16 0.47 65.915
741694.878 3669742.837 105.72 1.66 64.81 0.44 65.909
741695.655 3669742.84 104.55 1.66 64.03 0.44 65.917
