Easting Northing Q1 I1 Q05 I05 elevation
741408.837 3669799.275 58.41 1.02 40.95 0.33 69.48
741409.207 3669799.276 58.96 1.02 40.13 0.34 69.476
741410.116 3669799.265 58.81 1.06 40.13 0.34 69.466
741410.864 3669799.256 59.63 1.08 40.16 0.34 69.459
741411.333 3669799.248 58.73 1.11 39.7 0.34 69.456
741411.804 3669799.241 58.88 1.16 40.52 0.34 69.454
741412.236 3669799.234 58.77 1.19 40.75 0.34 69.451
741412.942 3669799.221 58.73 1.14 40.44 0.34 69.458
741413.584 3669799.21 58.38 1.12 40.16 0.32 69.464
741414.192 3669799.196 58.77 1.08 40.01 0.3 69.464
741414.661 3669799.184 59.31 1.05 39.77 0.3 69.462
741415.133 3669799.171 58.73 1.04 39.73 0.3 69.46
741415.835 3669799.155 58.22 1.02 39.42 0.3 69.457
741416.724 3669799.134 58.1 1.05 39.62 0.32 69.454
741417.146 3669799.12 57.59 1.02 39.46 0.32 69.453
741417.605 3669799.103 57.05 1.03 39.66 0.32 69.451
741418.1 3669799.085 57.87 1.05 39.5 0.32 69.448
741418.534 3669799.065 57.28 1.03 39.7 0.31 69.445
741419.31 3669799.012 57.16 1.01 39.77 0.29 69.435
741420.171 3669798.957 57.13 0.98 40.13 0.29 69.427
741420.672 3669798.932 57.59 0.95 40.09 0.3 69.427
741421.215 3669798.904 57.95 0.94 40.32 0.3 69.427
741421.715 3669798.883 58.34 0.98 40.4 0.3 69.427
741422.233 3669798.87 59.08 0.96 40.36 0.3 69.427
741422.85 3669798.853 58.77 0.95 40.05 0.3 69.426
741423.477 3669798.841 59.04 1.03 39.58 0.3 69.429
741424.066 3669798.832 58.65 1.08 39.27 0.3 69.432
741425.16 3669798.815 59.86 1.16 38.91 0.3 69.431
741425.813 3669798.805 59.55 1.19 39.07 0.31 69.427
741426.461 3669798.793 60.68 1.21 39.77 0.32 69.423
741427.033 3669798.781 60.84 1.21 39.7 0.32 69.419
741427.476 3669798.772 61.11 1.22 39.85 0.32 69.416
741428.16 3669798.761 61.19 1.22 39.42 0.31 69.408
741428.893 3669798.75 61.42 1.18 39.77 0.3 69.399
741429.475 3669798.74 62.16 1.17 39.85 0.31 69.4
741429.889 3669798.732 62.09 1.16 40.2 0.32 69.406
741430.378 3669798.722 61.62 1.16 40.52 0.31 69.413
741430.895 3669798.708 61.58 1.17 40.71 0.31 69.411
741431.974 3669798.672 61.62 1.18 40.98 0.3 69.373
741432.44 3669798.655 62.09 1.14 41.22 0.29 69.368
741432.863 3669798.639 62.24 1.08 41.65 0.28 69.371
741433.322 3669798.622 61.46 1.07 41.02 0.3 69.375
741433.825 3669798.605 61.81 1.04 41.8 0.29 69.375
741434.5 3669798.59 61.81 1.02 42.08 0.3 69.365
741435.186 3669798.576 61.66 1 42.2 0.31 69.358
741435.745 3669798.57 63.06 1.01 42.63 0.31 69.364
741436.083 3669798.566 62.48 0.97 42.94 0.31 69.368
741436.533 3669798.561 62.63 0.9 43.56 0.3 69.373
741437.319 3669798.558 62.4 0.9 44.11 0.29 69.368
741438.194 3669798.556 63.53 0.89 43.99 0.28 69.361
741438.697 3669798.55 62.83 0.9 43.33 0.29 69.351
741439.203 3669798.545 62.75 0.91 43.64 0.3 69.34
741439.622 3669798.54 63.45 0.93 44.03 0.3 69.331
741440.492 3669798.532 64.12 0.94 44.62 0.31 69.321
741441.091 3669798.526 64.94 0.94 44.77 0.32 69.316
741441.629 3669798.526 65.6 0.97 45.2 0.32 69.311
741442.125 3669798.535 64.51 0.98 45.13 0.31 69.307
741442.585 3669798.543 64.43 0.95 44.81 0.29 69.303
741442.975 3669798.55 63.84 0.94 44.62 0.29 69.299
741443.936 3669798.56 64.12 0.94 44.19 0.28 69.299
741444.877 3669798.565 63.84 0.96 44.15 0.28 69.296
741445.39 3669798.558 63.53 1 43.29 0.28 69.284
741445.824 3669798.552 63.1 0.93 43.33 0.28 69.275
741447.214 3669798.528 64.86 1.02 43.17 0.29 69.275
741447.902 3669798.515 64.31 1.05 42.59 0.29 69.283
741448.443 3669798.498 64.39 1.04 42.86 0.29 69.277
741448.944 3669798.483 64.47 1.1 43.37 0.3 69.272
741449.408 3669798.469 64.86 1.16 43.72 0.31 69.267
741449.97 3669798.449 65.09 1.14 44.27 0.31 69.27
741450.821 3669798.418 65.33 1.2 44.46 0.31 69.277
741451.327 3669798.412 65.76 1.23 44.66 0.31 69.275
741451.689 3669798.412 65.76 1.23 42.94 0.31 69.269
741452.193 3669798.413 64.59 1.2 43.84 0.31 69.263
741452.595 3669798.413 65.84 1.17 44.34 0.29 69.258
741453.487 3669798.41 66.66 1.18 44.15 0.3 69.263
741454.375 3669798.4 66.46 1.14 43.91 0.3 69.263
741454.835 3669798.386 65.64 1.16 44.27 0.3 69.258
741455.337 3669798.37 66.34 1.2 44.62 0.31 69.253
741455.88 3669798.357 67.09 1.21 44.73 0.31 69.251
741456.627 3669798.344 66.58 1.21 44.54 0.3 69.253
741457.348 3669798.333 66.81 1.25 44.38 0.3 69.249
741457.791 3669798.328 66.54 1.26 44.5 0.32 69.238
741458.198 3669798.324 66.11 1.24 44.07 0.32 69.228
741458.771 3669798.315 66.34 1.25 43.91 0.31 69.218
741459.413 3669798.292 66.7 1.24 43.8 0.3 69.226
741460.262 3669798.263 65.99 1.23 43.17 0.3 69.234
