Easting Northing EcaH1 I1 EcaH05 i05 elevation
741632.592 3669667.704 63.02 -2.01 45.59 -0.92 69.217
741633.724 3669667.658 65.21 -2.01 46.69 -0.92 69.183
741634.372 3669667.635 65.25 -1.98 46.8 -0.91 69.166
741634.857 3669667.634 64.31 -2.05 46.49 -0.92 69.168
741635.15 3669667.633 64.08 -2.02 46.26 -0.92 69.169
741635.538 3669667.631 63.96 -1.99 45.83 -0.92 69.171
741636.315 3669667.631 63.45 -2 46.06 -0.91 69.164
741637.344 3669667.633 62.71 -1.98 46.41 -0.92 69.142
741638.125 3669667.63 63.49 -1.95 45.83 -0.92 69.148
741638.535 3669667.628 63.02 -1.93 45.28 -0.93 69.157
741638.911 3669667.625 62.75 -1.94 45.4 -0.9 69.165
741639.796 3669667.621 63.26 -1.91 45.48 -0.89 69.157
741640.475 3669667.619 63.69 -1.95 46.26 -0.92 69.137
741641.436 3669667.611 64.31 -1.91 46.77 -0.92 69.117
741641.7 3669667.608 64.74 -1.89 47.39 -0.91 69.115
741642.193 3669667.602 64.16 -1.99 47.12 -0.91 69.111
741642.779 3669667.594 63.26 -2.13 46.53 -0.92 69.108
741643.638 3669667.579 62.28 -2.11 46.18 -0.93 69.121
741644.505 3669667.565 61.58 -2.07 46.18 -0.93 69.126
741644.874 3669667.559 60.52 -2.2 46.02 -0.91 69.119
741645.679 3669667.548 60.17 -2.38 44.42 -0.88 69.103
741646.462 3669667.546 58.61 -2.3 43.95 -0.89 69.101
741647.677 3669667.549 56.97 -2.39 43.56 -0.89 69.108
741648.173 3669667.549 56.27 -2.44 42.66 -0.88 69.109
741648.666 3669667.55 56.19 -2.45 42.78 -0.89 69.109
741649.201 3669667.551 54.94 -2.52 42.51 -0.9 69.11
741649.873 3669667.538 55.72 -2.38 43.29 -0.91 69.107
741650.907 3669667.514 55.25 -2.5 43.05 -0.9 69.101
741651.329 3669667.498 55.8 -2.53 43.02 -0.9 69.105
741651.779 3669667.479 56.31 -2.52 43.45 -0.92 69.111
741652.196 3669667.461 56.27 -2.57 43.76 -0.92 69.116
741652.577 3669667.445 57.48 -2.49 43.84 -0.91 69.121
741653.666 3669667.395 59.35 -2.4 44.38 -0.91 69.111
741654.664 3669667.355 59.51 -2.49 45.67 -0.92 69.109
741655.33 3669667.345 60.33 -2.54 45.05 -0.92 69.128
741655.721 3669667.339 60.56 -2.37 44.97 -0.92 69.139
741656.112 3669667.334 60.25 -2.42 44.81 -0.92 69.15
741657.207 3669667.332 59.23 -2.58 44.54 -0.91 69.152
741658.4 3669667.333 59.9 -2.39 44.03 -0.91 69.143
741658.798 3669667.335 58.84 -2.42 43.68 -0.91 69.134
741659.326 3669667.338 58.77 -2.48 43.88 -0.92 69.121
741660.951 3669667.364 56.85 -2.55 43.09 -0.91 69.131
741661.822 3669667.381 56.77 -2.54 42.47 -0.92 69.146
741662.334 3669667.381 57.13 -2.4 42.63 -0.92 69.146
741662.938 3669667.38 58.3 -2.44 42.9 -0.92 69.147
741663.402 3669667.38 59.82 -2.36 43.64 -0.92 69.147
741664.302 3669667.363 58.1 -2.46 43.02 -0.91 69.123
741665.641 3669667.332 58.84 -2.45 43.88 -0.9 69.08
741666.105 3669667.322 59.04 -2.38 43.99 -0.89 69.085
741666.526 3669667.314 58.73 -2.43 43.76 -0.89 69.089
741666.99 3669667.304 58.81 -2.49 42.94 -0.9 69.094
741667.553 3669667.291 58.53 -2.41 42.47 -0.9 69.098
741669.004 3669667.231 57.48 -2.42 42.23 -0.89 69.086
741669.671 3669667.207 57.44 -2.36 42.04 -0.9 69.083
741670.189 3669667.191 57.05 -2.41 41.57 -0.9 69.083
741670.8 3669667.172 57.4 -2.33 41.45 -0.9 69.083
741671.419 3669667.157 57.05 -2.33 41.45 -0.9 69.087
741672.584 3669667.149 56.46 -2.42 40.71 -0.91 69.12
741673.214 3669667.144 55.25 -2.39 40.01 -0.91 69.135
741673.821 3669667.144 55.29 -2.33 39.66 -0.91 69.124
741674.425 3669667.143 53.88 -2.42 39.77 -0.9 69.113
741675.164 3669667.141 55.21 -2.42 40.48 -0.91 69.1
741676.068 3669667.118 55.48 -2.42 40.83 -0.92 69.095
741677.016 3669667.094 56.15 -2.36 41.18 -0.92 69.089
741677.654 3669667.078 57.2 -2.34 41.06 -0.91 69.096
741678.065 3669667.068 56.38 -2.46 40.87 -0.92 69.1
741678.656 3669667.053 56.23 -2.55 41.02 -0.93 69.106
741679.248 3669667.041 56.03 -2.4 41.06 -0.93 69.103
741680.34 3669667.023 56.85 -2.47 41.77 -0.92 69.09
741680.878 3669667.01 55.6 -2.64 41.73 -0.91 69.091
741681.356 3669666.993 55.72 -2.65 41.22 -0.91 69.104
741681.871 3669666.974 56.23 -2.46 41.3 -0.9 69.118
741682.349 3669666.956 55.64 -2.48 40.95 -0.9 69.131
741683.346 3669666.912 56.19 -2.51 41.41 -0.91 69.105
741684.501 3669666.865 56.54 -2.59 41.57 -0.92 69.073
741684.968 3669666.855 56.77 -2.47 41.65 -0.94 69.068
741685.361 3669666.846 57.28 -2.43 42.66 -0.94 69.065
741685.828 3669666.835 57.63 -2.53 42.43 -0.94 69.06
741686.658 3669666.834 57.98 -2.52 42.43 -0.96 69.06
741687.842 3669666.837 57.44 -2.62 42.43 -0.95 69.062
741688.363 3669666.834 57.56 -2.56 42.59 -0.94 69.062
741688.884 3669666.831 57.75 -2.49 42.98 -0.93 69.062
741689.57 3669666.825 57.28 -2.57 42.2 -0.93 69.064
741690.93 3669666.783 56.38 -2.55 41.02 -0.92 69.098
741691.35 3669666.769 55.91 -2.41 40.24 -0.92 69.106
741691.753 3669666.752 55.25 -2.56 40.05 -0.92 69.107
741692.4 3669666.726 54.43 -2.62 40.05 -0.93 69.108
741692.805 3669666.709 54.66 -2.5 39.81 -0.93 69.109
741693.568 3669666.7 53.69 -2.51 39.7 -0.94 69.098
741694.212 3669666.695 53.41 -2.57 40.24 -0.95 69.088
741694.903 3669666.686 54.59 -2.49 40.01 -0.94 69.085
741695.313 3669666.677 55.25 -2.5 39.93 -0.95 69.089
741695.91 3669666.665 55.13 -2.57 40.13 -0.95 69.094
741696.247 3669666.658 55.84 -2.51 40.4 -0.95 69.097
741697.316 3669666.612 56.07 -2.42 40.48 -0.94 69.079
741698 3669666.584 57.56 -2.36 40.87 -0.94 69.069
741698.516 3669666.564 58.02 -2.43 41.02 -0.96 69.069
741698.884 3669666.55 57.71 -2.61 41.88 -0.97 69.07
741699.363 3669666.532 57.32 -2.74 42.59 -0.97 69.07
741700.219 3669666.497 58.69 -2.66 43.8 -0.97 69.066
741701.264 3669666.452 59.66 -2.65 43.91 -0.98 69.061
741701.821 3669666.424 59.47 -2.64 43.91 -0.97 69.067
741702.292 3669666.4 60.8 -2.53 43.91 -0.97 69.072
741702.805 3669666.374 60.06 -2.54 44.11 -0.96 69.078
741703.653 3669666.3 61.19 -2.6 44.73 -0.96 69.072
741704.327 3669666.24 61.5 -2.61 45.32 -0.98 69.067
741704.99 3669666.161 62.87 -2.67 45.67 -0.99 69.061
741705.329 3669666.119 62.28 -2.75 46.14 -0.98 69.057
741705.784 3669666.061 63.65 -2.57 47.7 -0.97 69.052
741706.352 3669665.982 66.23 -2.57 48.8 -0.96 69.047
741707.365 3669665.832 67.59 -2.62 50.05 -0.96 69.04
741707.884 3669665.756 69.78 -2.48 52.27 -0.96 69.027
741708.27 3669665.7 72.44 -2.4 54.54 -0.97 69.014
741708.623 3669665.648 74.27 -2.39 56.65 -0.96 69.002
741709.149 3669665.572 77.52 -2.4 57.04 -0.96 68.984
741710.079 3669665.472 79.12 -2.3 57.78 -0.96 68.97
741710.868 3669665.385 79.86 -2.21 59.27 -0.95 68.962
741711.506 3669665.307 81.93 -2.11 59.97 -0.95 68.97
741711.807 3669665.27 82.05 -1.99 59.62 -0.95 68.975
741712.296 3669665.21 80.48 -1.85 58.76 -0.95 68.981
741712.953 3669665.092 79.9 -1.77 57.66 -0.94 68.962
741713.698 3669664.957 78.38 -1.73 56.92 -0.95 68.939
741714.31 3669664.843 77.16 -1.83 56.26 -0.97 68.935
741714.724 3669664.766 76.73 -1.9 56.26 -0.98 68.936
741715.213 3669664.675 76.23 -1.89 56.1 -0.97 68.936
741715.763 3669664.579 76.19 -1.88 55.95 -0.97 68.926
741716.623 3669664.431 73.96 -1.88 55.32 -0.95 68.908
741717.006 3669664.367 72.52 -1.99 54.81 -0.94 68.907
741717.444 3669664.295 72.95 -2.05 55.16 -0.95 68.908
741717.843 3669664.23 72.83 -2.16 56.38 -0.96 68.908
741718.409 3669664.151 73.41 -2.32 55.91 -0.95 68.909
741719.117 3669664.072 73.65 -2.21 55.59 -0.94 68.913
741719.611 3669664.024 74.12 -2.03 55.55 -0.92 68.914
741720.082 3669664.026 73.77 -2.18 56.02 -0.92 68.903
741720.407 3669664.028 74.43 -2.32 56.96 -0.93 68.896
741720.731 3669664.03 76.31 -2.16 58.25 -0.93 68.889
741721.188 3669664.077 78.41 -1.96 58.48 -0.93 68.9
741721.964 3669664.203 78.96 -1.83 58.05 -0.93 68.943
741722.511 3669664.336 78.96 -1.71 56.38 -0.9 68.962
741722.931 3669664.473 78.53 -1.63 56.73 -0.87 68.968
741723.389 3669664.622 77.91 -1.66 57.43 -0.87 68.975
741724.192 3669665.084 79.59 -1.59 57.39 -0.87 68.974
741724.661 3669665.397 81.31 -1.46 59.7 -0.87 68.971
741724.914 3669665.683 80.95 -1.34 57.35 -0.83 68.967
741725.167 3669665.969 80.52 -1.33 56.45 -0.87 68.962
741725.466 3669666.306 80.99 -1.35 55.79 -0.89 68.957
741725.842 3669666.9 80.48 -1.43 56.57 -0.9 68.957
741726.126 3669667.39 79 -1.5 58.8 -0.91 68.958
741726.292 3669667.76 80.29 -1.56 60.24 -0.91 68.957
741726.42 3669668.147 78.92 -1.52 57.63 -0.87 68.953
741726.602 3669668.697 77.4 -1.48 56.3 -0.86 68.946
741726.653 3669669.083 74.86 -1.4 54.23 -0.81 68.947
741726.67 3669669.641 76.19 -1.34 54.3 -0.81 68.951
741726.645 3669670.361 77.87 -1.33 56.57 -0.83 68.946
741726.533 3669670.779 80.8 -1.37 59.27 -0.89 68.923
741726.465 3669671.035 82.67 -1.33 60.09 -0.9 68.909
741726.354 3669671.451 84.04 -1.37 60.32 -0.91 68.886
741725.991 3669672.145 84 -1.46 62.23 -0.93 68.872
741725.597 3669672.825 83.69 -1.48 61.88 -0.93 68.862
741725.271 3669673.159 83.65 -1.49 61.14 -0.93 68.867
741725.014 3669673.423 83.02 -1.51 60.05 -0.92 68.872
741724.756 3669673.688 79.43 -1.52 57.55 -0.9 68.876
741724.04 3669674.155 77.48 -1.54 57.04 -0.89 68.867
741723.327 3669674.541 77.24 -1.52 55.87 -0.9 68.851
741722.782 3669674.689 76.23 -1.46 55.52 -0.91 68.832
741722.276 3669674.804 75.88 -1.44 55.36 -0.92 68.814
741721.915 3669674.885 76.58 -1.38 55.16 -0.92 68.801
741721.198 3669674.95 76.38 -1.35 54.97 -0.93 68.805
741720.108 3669674.968 75.06 -1.38 53.99 -0.94 68.837
741719.724 3669674.94 72.09 -1.39 51.88 -0.92 68.827
741719.306 3669674.9 70.99 -1.38 50.59 -0.9 68.811
741718.698 3669674.841 70.13 -1.38 50.48 -0.91 68.787
741718.319 3669674.805 70.56 -1.42 50.24 -0.92 68.772
741717.311 3669674.725 70.64 -1.41 49.85 -0.94 68.772
741716.338 3669674.66 69.94 -1.39 50.48 -0.94 68.776
741715.905 3669674.65 70.25 -1.49 50.48 -0.94 68.784
741715.394 3669674.638 70.17 -1.52 50.63 -0.95 68.793
741714.843 3669674.626 71.27 -1.6 51.84 -0.95 68.803
741713.952 3669674.614 72.98 -1.59 52.82 -0.95 68.804
741712.923 3669674.602 74.7 -1.58 53.91 -0.95 68.806
741712.283 3669674.591 75.33 -1.61 54.54 -0.95 68.821
741711.813 3669674.584 76.5 -1.6 54.11 -0.96 68.833
741711.258 3669674.575 76.54 -1.56 53.68 -0.95 68.846
741710.625 3669674.58 77.13 -1.46 53.52 -0.93 68.81
741709.241 3669674.605 77.16 -1.43 53.17 -0.93 68.729
741708.825 3669674.625 76.46 -1.39 52.16 -0.94 68.735
741708.487 3669674.641 74.39 -1.39 50.48 -0.93 68.74
741708.071 3669674.66 72.98 -1.46 49.07 -0.94 68.746
741707.34 3669674.697 71.62 -1.5 48.64 -0.97 68.755
741706.372 3669674.749 71.07 -1.53 48.48 -0.98 68.765
741705.575 3669674.777 70.56 -1.53 48.29 -0.99 68.765
741704.905 3669674.787 69.51 -1.5 47.47 -0.98 68.759
741704.367 3669674.794 68.73 -1.47 46.77 -0.96 68.754
741703.85 3669674.798 67.71 -1.47 45.83 -0.96 68.746
741702.845 3669674.795 66.58 -1.46 44.73 -0.96 68.726
741701.961 3669674.798 64.9 -1.46 44.73 -0.95 68.712
741701.484 3669674.808 65.17 -1.46 44.77 -0.96 68.712
741701.006 3669674.819 65.17 -1.5 44.46 -0.95 68.713
741700.313 3669674.834 65.06 -1.52 44.3 -0.96 68.713
741699.57 3669674.881 64.86 -1.51 44.62 -0.96 68.706
741698.716 3669674.938 64.23 -1.52 43.48 -0.94 68.698
741697.895 3669675.003 63.34 -1.51 42.39 -0.94 68.683
741697.028 3669675.083 61.23 -1.54 41.57 -0.93 68.66
741696.54 3669675.128 61.5 -1.53 41.65 -0.94 68.648
741695.734 3669675.187 60.91 -1.53 41.65 -0.93 68.646
741694.714 3669675.256 60.95 -1.54 41.84 -0.93 68.653
741693.199 3669675.306 60.45 -1.53 40.75 -0.93 68.609
741692.439 3669675.322 60.41 -1.55 40.16 -0.93 68.576
741691.703 3669675.33 59.82 -1.54 40.63 -0.94 68.532
741690.587 3669675.337 59.47 -1.55 41.14 -0.92 68.458
741689.786 3669675.365 60.48 -1.55 40.55 -0.91 68.424
741689.375 3669675.392 61.58 -1.59 40.91 -0.92 68.418
741689.002 3669675.417 61.66 -1.59 40.75 -0.93 68.412
741688.517 3669675.45 62.05 -1.59 40.48 -0.94 68.405
741687.519 3669675.505 61.58 -1.6 40.71 -0.93 68.405
741685.989 3669675.576 61.19 -1.6 41.06 -0.96 68.409
741685.372 3669675.587 59.78 -1.57 40.09 -0.93 68.39
741684.756 3669675.597 59.04 -1.58 39.97 -0.91 68.372
741684.091 3669675.609 60.33 -1.6 40.09 -0.92 68.352
741683.094 3669675.648 60.41 -1.63 39.23 -0.91 68.355
741682.009 3669675.691 59.98 -1.6 39.58 -0.92 68.359
741681.482 3669675.706 61.03 -1.58 40.32 -0.92 68.353
741680.954 3669675.721 60.76 -1.59 40.24 -0.92 68.347
741680.381 3669675.738 60.76 -1.56 40.16 -0.93 68.34
741679.243 3669675.763 60.84 -1.59 40.09 -0.91 68.332
741678.025 3669675.786 61.66 -1.56 40.75 -0.9 68.326
741677.517 3669675.796 62.09 -1.52 41.02 -0.89 68.328
741677.054 3669675.805 62.71 -1.52 41.34 -0.91 68.329
741676.502 3669675.815 62.83 -1.5 41.73 -0.92 68.33
741675.831 3669675.831 62.75 -1.46 41.69 -0.91 68.334
741674.489 3669675.865 62.91 -1.49 41.84 -0.9 68.345
741674.109 3669675.872 63.34 -1.48 42.27 -0.91 68.344
741673.348 3669675.881 63.49 -1.47 42.43 -0.91 68.338
741673.036 3669675.885 64.31 -1.48 43.33 -0.9 68.336
741672.429 3669675.893 64.43 -1.46 43.25 -0.88 68.335
741671.578 3669675.91 64.59 -1.4 43.13 -0.87 68.364
741670.179 3669675.923 64.43 -1.37 42.78 -0.89 68.397
741669.786 3669675.921 64.16 -1.38 42.12 -0.88 68.399
741669.233 3669675.918 63.49 -1.36 42.04 -0.88 68.402
741668.516 3669675.898 62.87 -1.34 41.38 -0.88 68.389
741667.696 3669675.867 63.34 -1.38 42.04 -0.9 68.368
741666.984 3669675.85 63.92 -1.36 42.08 -0.89 68.36
741666.517 3669675.846 64.74 -1.34 43.88 -0.9 68.363
741666.049 3669675.841 65.02 -1.34 44.85 -0.89 68.366
741665.39 3669675.848 64.86 -1.38 45.95 -0.91 68.371
741664.366 3669675.881 65.41 -1.4 45.87 -0.92 68.379
741663.904 3669675.896 65.21 -1.39 46.26 -0.91 68.385
741663.455 3669675.91 65.37 -1.4 45.4 -0.9 68.395
741662.843 3669675.929 64.55 -1.38 44.89 -0.9 68.409
741661.304 3669675.965 64.27 -1.36 44.62 -0.9 68.42
741660.862 3669675.972 64.63 -1.39 44.93 -0.9 68.418
741660.391 3669675.977 64.23 -1.39 45.01 -0.89 68.41
741659.992 3669675.981 64.47 -1.39 45.01 -0.88 68.403
741659.426 3669675.989 63.84 -1.42 45.05 -0.91 68.394
741658.709 3669676.007 63.73 -1.43 45.36 -0.92 68.381
741658.028 3669676.026 63.77 -1.39 45.87 -0.9 68.37
741657.636 3669676.047 65.56 -1.36 45.2 -0.88 68.371
741657.178 3669676.071 65.6 -1.35 45.36 -0.89 68.372
741656.819 3669676.091 65.56 -1.33 44.93 -0.88 68.373
741656.251 3669676.112 64.7 -1.35 44.73 -0.89 68.386
741655.127 3669676.146 64.35 -1.37 44.7 -0.89 68.424
741654.624 3669676.152 65.06 -1.35 44.97 -0.89 68.406
741654.158 3669676.155 65.33 -1.37 45.48 -0.9 68.385
741653.8 3669676.158 67.2 -1.37 45.83 -0.9 68.369
741653.174 3669676.162 66.77 -1.34 46.02 -0.9 68.349
741652.255 3669676.166 66.85 -1.34 46.8 -0.9 68.336
741651.704 3669676.17 67.83 -1.41 47.35 -0.92 68.329
741650.986 3669676.179 67.36 -1.43 47.66 -0.94 68.323
741650.476 3669676.185 67.71 -1.44 47.9 -0.94 68.319
741649.812 3669676.192 68.96 -1.44 48.21 -0.95 68.317
741649.163 3669676.197 69.7 -1.43 49.93 -0.96 68.318
741648.609 3669676.203 70.76 -1.41 50.2 -0.94 68.323
741648.224 3669676.21 71.07 -1.44 49.97 -0.95 68.341
741647.708 3669676.219 70.72 -1.46 49.73 -0.96 68.366
741647.354 3669676.225 70.68 -1.45 50.59 -0.96 68.383
741646.738 3669676.246 71.93 -1.49 51.26 -0.95 68.384
741645.723 3669676.284 72.48 -1.52 50.91 -0.96 68.373
741645.329 3669676.299 72.32 -1.52 50.59 -0.97 68.368
741644.869 3669676.317 72.4 -1.49 50.52 -0.98 68.362
741644.575 3669676.329 71.42 -1.46 49.85 -0.96 68.358
741643.761 3669676.354 71.15 -1.46 49.77 -0.97 68.36
741642.69 3669676.382 70.25 -1.47 49.89 -0.97 68.371
741642.443 3669676.388 70.48 -1.47 49.42 -0.95 68.373
741642.022 3669676.396 69.94 -1.5 49.3 -0.97 68.377
741641.634 3669676.405 68.84 -1.51 48.72 -0.97 68.38
741640.866 3669676.429 68.77 -1.47 48.45 -0.95 68.4
741640.441 3669676.446 68.69 -1.47 47.51 -0.96 68.414
741639.703 3669676.475 67.09 -1.51 46.96 -0.97 68.431
741639.29 3669676.491 65.33 -1.5 46.8 -0.96 68.426
741638.839 3669676.51 64.35 -1.48 45.79 -0.95 68.42
741638.39 3669676.528 64.08 -1.49 45.59 -0.95 68.414
741637.209 3669676.553 63.14 -1.48 45.01 -0.94 68.413
741636.477 3669676.569 62.63 -1.5 44.54 -0.94 68.411
741636.086 3669676.58 63.1 -1.5 44.97 -0.96 68.41
741635.693 3669676.59 63.57 -1.49 45.2 -0.98 68.409
741635.225 3669676.603 64.47 -1.52 46.69 -0.97 68.408
741634.186 3669676.628 65.25 -1.49 47.16 -0.96 68.423
741633.533 3669676.644 67.05 -1.45 47.63 -0.97 68.432
741633.137 3669676.654 68.38 -1.5 48.13 -0.97 68.433
741632.669 3669676.665 68.81 -1.51 48.48 -0.97 68.433
741632.165 3669676.677 69.59 -1.51 48.91 -0.98 68.434
741631.4 3669676.692 69.9 -1.51 49.58 -0.98 68.446
741630.691 3669676.705 70.21 -1.48 49.27 -0.95 68.46
741630.086 3669676.713 69.74 -1.47 48.45 -0.96 68.46
741629.728 3669676.716 68.77 -1.46 47.86 -0.95 68.452
741629.272 3669676.719 68.38 -1.49 47.74 -0.95 68.442
741628.914 3669676.722 69.43 -1.53 48.17 -0.97 68.434
741627.953 3669676.742 69.23 -1.49 47.9 -0.97 68.441
741626.976 3669676.764 69.43 -1.54 47.27 -0.98 68.44
741626.498 3669676.774 68.84 -1.58 47.7 -0.98 68.425
741625.554 3669676.792 70.41 -1.57 48.6 -0.98 68.397
741624.812 3669676.805 70.17 -1.54 48.72 -0.98 68.388
741624.202 3669676.816 69.86 -1.53 49.07 -0.99 68.381
741623.701 3669676.831 70.06 -1.53 49.46 -1 68.378
741623.239 3669676.844 71.31 -1.52 50.01 -0.99 68.375
741622.103 3669676.87 71.77 -1.52 49.97 -1.01 68.372
741621.468 3669676.881 72.05 -1.52 50.91 -1 68.372
741620.867 3669676.889 72.98 -1.49 51.69 -0.98 68.369
741620.317 3669676.895 74.51 -1.49 52 -1 68.364
741619.845 3669676.9 75.06 -1.49 52.43 -0.99 68.359
741619.307 3669676.904 75.48 -1.5 52.35 -1 68.36
741618.402 3669676.908 74.82 -1.49 51.69 -1.01 68.371
741617.797 3669676.916 74.82 -1.5 52.43 -1 68.386
741617.194 3669676.933 75.29 -1.52 52 -0.99 68.415
741616.817 3669676.943 74.74 -1.55 50.87 -1.01 68.433
741616.281 3669676.961 73.3 -1.53 50.95 -1.01 68.446
741615.308 3669677.002 73.34 -1.48 50.44 -0.99 68.433
741614.674 3669677.022 72.63 -1.49 50.91 -0.98 68.433
741614.27 3669677.027 73.88 -1.51 51.26 -1 68.443
741613.825 3669677.033 73.77 -1.57 51.45 -1.02 68.453
741613.315 3669677.041 73.92 -1.6 51.38 -1.04 68.464
741612.495 3669677.066 73.3 -1.58 51.84 -1.04 68.463
741611.64 3669677.093 74.63 -1.56 51.49 -1.02 68.463
741611.255 3669677.107 74.2 -1.52 51.41 -1 68.467
741610.872 3669677.121 74.08 -1.52 50.55 -1 68.47
741610.345 3669677.14 73.34 -1.51 49.93 -0.97 68.475
741609.772 3669677.146 73.41 -1.52 50.2 -0.99 68.468
741608.454 3669677.141 74.63 -1.53 51.14 -1.01 68.434
741608.086 3669677.141 75.33 -1.57 50.79 -0.99 68.436
741607.61 3669677.141 75.37 -1.61 50.71 -1.02 68.438
741607.206 3669677.142 74.9 -1.62 51.06 -1.04 68.439
741606.678 3669677.146 75.95 -1.61 52.47 -1.05 68.439
741605.615 3669677.174 77.44 -1.63 53.05 -1.04 68.427
741604.871 3669677.194 77.67 -1.63 53.64 -1.04 68.414
741604.41 3669677.206 78.69 -1.62 54.07 -1.06 68.403
741603.905 3669677.219 79.51 -1.61 54.97 -1.05 68.391
741603.236 3669677.235 80.17 -1.61 55.09 -1.05 68.385
741602.319 3669677.253 80.41 -1.61 55.2 -1.05 68.398
741601.539 3669677.269 81.23 -1.62 54.93 -1.05 68.407
741600.901 3669677.28 81.07 -1.58 55.4 -1.06 68.409
741600.582 3669677.286 81.54 -1.56 56.38 -1.05 68.41
741599.919 3669677.298 81.93 -1.59 56.14 -1.04 68.412
741599.322 3669677.309 81.07 -1.61 55.09 -1.05 68.417
741598.53 3669677.323 81.07 -1.6 55.36 -1.05 68.423
741597.741 3669677.337 82.2 -1.6 56.45 -1.04 68.433
741597.184 3669677.347 83.18 -1.6 56.96 -1.05 68.442
741596.627 3669677.356 83.22 -1.58 57.23 -1.04 68.452
741595.526 3669677.379 84.12 -1.59 57.82 -1.05 68.468
741594.722 3669677.396 84.86 -1.58 57.7 -1.05 68.48
741594.338 3669677.405 83.96 -1.59 56.69 -1.03 68.486
741593.875 3669677.415 83.18 -1.62 55.95 -1.03 68.493
741593.222 3669677.43 81.77 -1.6 55.44 -1.04 68.503
741592.728 3669677.439 82.01 -1.64 55.4 -1.04 68.499
741591.765 3669677.452 81.85 -1.65 55.44 -1.05 68.472
741591.03 3669677.465 82.44 -1.69 55.87 -1.07 68.463
741590.44 3669677.482 82.91 -1.67 56.3 -1.08 68.479
741589.931 3669677.497 82.95 -1.61 55.32 -1.06 68.493
741589.435 3669677.512 82.2 -1.62 55.05 -1.06 68.506
741588.511 3669677.552 82.01 -1.62 54.62 -1.05 68.519
741587.717 3669677.585 81.19 -1.57 53.68 -1.04 68.527
741587.214 3669677.594 79.63 -1.56 53.33 -1.05 68.513
741586.628 3669677.604 79.86 -1.61 53.09 -1.05 68.498
741586.023 3669677.615 79.31 -1.64 52.74 -1.06 68.484
741585.447 3669677.632 78.81 -1.65 52.35 -1.06 68.491
741584.744 3669677.652 78.1 -1.66 51.77 -1.02 68.5
741584.111 3669677.68 76.93 -1.68 50.67 -1.04 68.507
741583.608 3669677.715 75.68 -1.67 49.58 -1.06 68.511
741583.022 3669677.756 73.41 -1.65 47.94 -1.06 68.515
741582.541 3669677.788 71.23 -1.6 46.69 -1.04 68.519
741581.294 3669677.867 70.17 -1.55 45.67 -1.02 68.533
741580.547 3669677.901 68.92 -1.53 45.09 -0.99 68.547
741579.973 3669677.915 68.77 -1.58 45.13 -1 68.564
741579.441 3669677.928 68.22 -1.63 44.62 -1.01 68.581
741578.935 3669677.939 68.18 -1.62 44.62 -1.02 68.592
741577.713 3669677.951 66.89 -1.62 43.64 -1.05 68.573
741576.966 3669677.958 65.09 -1.65 42.51 -1.04 68.566
741576.314 3669677.964 63.81 -1.67 42.04 -1.06 68.573
741575.803 3669677.969 62.13 -1.68 40.87 -1.08 68.579
741575.165 3669677.976 61.03 -1.71 40.52 -1.09 68.585
741574.142 3669677.995 61.03 -1.72 39.89 -1.09 68.588
741573.436 3669678.008 59.82 -1.73 39.7 -1.1 68.591
741572.522 3669678.024 58.88 -1.74 39.38 -1.1 68.606
741571.98 3669678.034 58.77 -1.74 38.76 -1.11 68.616
741571.198 3669678.047 58.18 -1.76 37.98 -1.1 68.632
741569.5 3669678.072 57.05 -1.79 37.78 -1.11 68.682
741568.534 3669678.092 55.52 -1.71 37.04 -1.08 68.643
741567.876 3669678.107 55.02 -1.72 36.8 -1.09 68.6
741567.217 3669678.122 54.94 -1.71 36.88 -1.09 68.557
741566.356 3669678.134 55.45 -1.7 36.88 -1.08 68.553
741565.365 3669678.147 55.13 -1.71 37.7 -1.09 68.551
741564.714 3669678.152 56.62 -1.72 38.64 -1.08 68.551
741563.954 3669678.155 56.5 -1.75 38.99 -1.1 68.55
741563.573 3669678.156 56.62 -1.75 38.72 -1.1 68.55
741561.62 3669678.172 55.91 -1.72 37.55 -1.09 68.566
741560.78 3669678.182 55.45 -1.71 36.84 -1.08 68.577
741559.924 3669678.199 55.02 -1.7 36.18 -1.07 68.592
741559.423 3669678.21 54.16 -1.71 35.95 -1.08 68.6
741558.921 3669678.22 54.16 -1.72 35.44 -1.09 68.609
741557.901 3669678.235 53.57 -1.68 35.4 -1.08 68.615
741556.718 3669678.251 53.14 -1.69 35.55 -1.07 68.623
741556.14 3669678.258 53.02 -1.72 35.83 -1.06 68.647
741555.562 3669678.265 52.71 -1.75 35.87 -1.08 68.671
741554.517 3669678.275 52.4 -1.72 35.4 -1.07 68.706
741553.64 3669678.275 52.32 -1.7 35.16 -1.06 68.7
741552.758 3669678.274 52.59 -1.7 34.7 -1.06 68.693
741551.817 3669678.278 51.38 -1.71 34.97 -1.06 68.699
741551.305 3669678.28 51.42 -1.73 35.2 -1.06 68.704
741550.791 3669678.282 51.81 -1.73 34.46 -1.05 68.709
741550.004 3669678.29 51.34 -1.71 34.66 -1.05 68.716
741548.673 3669678.308 51.15 -1.73 34.15 -1.05 68.728
741547.884 3669678.32 50.48 -1.72 33.72 -1.05 68.734
741547.429 3669678.328 50.17 -1.76 32.86 -1.05 68.737
741546.928 3669678.337 49.31 -1.77 32.55 -1.06 68.74
741546.336 3669678.346 48.14 -1.74 31.73 -1.05 68.745
