Easting Northing EcaH1 I1 EcaH05 i05 elevation
741671.377 3669640.185 71.62 -1.43 49.58 -0.88 68.133
741670.948 3669640.196 71.62 -1.42 49.34 -0.89 68.131
741670.518 3669640.208 71.81 -1.41 49.11 -0.9 68.129
741669.614 3669640.257 71.5 -1.42 49.81 -0.92 68.098
741668.829 3669640.298 72.05 -1.44 49.5 -0.92 68.076
741668.355 3669640.323 72.56 -1.43 49.58 -0.92 68.074
741667.884 3669640.347 71.46 -1.39 49.73 -0.91 68.073
741666.556 3669640.403 72.05 -1.41 49.3 -0.91 68.065
741665.7 3669640.435 71.46 -1.4 49.15 -0.9 68.06
741665.308 3669640.447 71.93 -1.44 49.42 -0.9 68.061
741664.744 3669640.465 71.7 -1.44 50.44 -0.91 68.062
741664.068 3669640.485 72.95 -1.4 51.02 -0.88 68.062
741663.312 3669640.491 73.41 -1.42 51.77 -0.88 68.048
741662.555 3669640.498 73.77 -1.41 51.69 -0.87 68.035
741662.074 3669640.5 73.49 -1.4 51.22 -0.88 68.042
741661.693 3669640.501 72.98 -1.43 50.67 -0.89 68.05
741661.313 3669640.502 72.83 -1.47 50.36 -0.89 68.057
741660.48 3669640.515 73.14 -1.45 49.93 -0.89 68.061
741659.507 3669640.544 71.81 -1.47 48.99 -0.9 68.048
741658.914 3669640.561 71.97 -1.47 48.95 -0.9 68.046
741658.503 3669640.573 72.01 -1.48 49.23 -0.9 68.049
741658.06 3669640.585 72.79 -1.5 50.4 -0.91 68.052
741657.684 3669640.596 73.57 -1.5 51.34 -0.91 68.054
741656.723 3669640.613 74.86 -1.44 52.66 -0.9 68.058
741655.572 3669640.626 75.52 -1.44 52.74 -0.9 68.064
741655.166 3669640.627 76.27 -1.48 53.33 -0.9 68.067
741654.719 3669640.629 77.63 -1.45 53.45 -0.9 68.071
741654.271 3669640.63 77.36 -1.46 51.73 -0.89 68.075
741653.487 3669640.637 75.56 -1.45 51.26 -0.87 68.109
741652.649 3669640.646 75.48 -1.43 51.06 -0.86 68.148
741651.971 3669640.658 76.15 -1.45 52.2 -0.88 68.19
741651.429 3669640.668 77.16 -1.5 51.88 -0.9 68.227
741651.015 3669640.676 76.42 -1.46 51.38 -0.88 68.255
741650.375 3669640.68 74.82 -1.49 50.67 -0.89 68.286
741649.331 3669640.681 74 -1.52 50.16 -0.9 68.328
741648.678 3669640.681 74 -1.49 49.58 -0.89 68.351
741648.243 3669640.68 72.48 -1.52 48.91 -0.9 68.365
741647.81 3669640.68 71.81 -1.57 49.62 -0.91 68.38
741647.411 3669640.68 71.42 -1.58 48.48 -0.9 68.393
741645.856 3669640.682 71.93 -1.56 49.46 -0.91 68.479
741645.238 3669640.68 72.32 -1.54 50.32 -0.9 68.513
741645.034 3669640.678 73.57 -1.52 50.36 -0.9 68.524
741644.562 3669640.674 72.71 -1.56 50.05 -0.9 68.549
741644.087 3669640.671 73.02 -1.58 50.13 -0.91 68.575
741643.312 3669640.678 73.77 -1.57 49.77 -0.9 68.611
741642.22 3669640.692 72.79 -1.56 50.01 -0.9 68.66
741641.779 3669640.702 72.79 -1.55 50.4 -0.9 68.677
741641.336 3669640.711 73.65 -1.57 50.67 -0.92 68.694
741640.812 3669640.722 75.41 -1.57 51.73 -0.93 68.715
741639.831 3669640.724 75.21 -1.53 52.04 -0.92 68.768
741639.25 3669640.724 75.25 -1.5 51.65 -0.91 68.801
741638.544 3669640.715 74.82 -1.49 51.53 -0.91 68.838
741638.214 3669640.71 74 -1.55 51.02 -0.92 68.855
741637.678 3669640.701 74.04 -1.54 51.1 -0.92 68.882
741637.019 3669640.692 74.04 -1.5 50.83 -0.91 68.913
741636.04 3669640.678 73.49 -1.52 50.4 -0.92 68.957
741635.488 3669640.68 73.34 -1.54 50.44 -0.91 68.983
741634.959 3669640.689 74.74 -1.54 51.1 -0.92 69.009
741634.43 3669640.697 75.95 -1.52 52.04 -0.92 69.035
741633.775 3669640.705 77.16 -1.44 52.27 -0.91 69.061
741632.307 3669640.714 77.63 -1.45 52.7 -0.92 69.111
741631.909 3669640.707 78.3 -1.46 53.17 -0.91 69.13
741631.402 3669640.698 77.87 -1.43 52.59 -0.9 69.154
741630.97 3669640.691 76.54 -1.48 52.2 -0.92 69.175
